contract_line_id,contract_no,item_id,quantity,condition,notes
1,1,1,1,Good,
2,1,2,1,Good,
3,1,3,1,Good,
4,1,4,1,Good,
5,2,1,1,Good,
6,2,2,1,Good,
7,2,3,1,Fair,Minor scratch on surface
8,2,4,1,Good,
9,3,1,1,Good,
10,3,2,1,Good,
11,3,3,1,Good,
12,3,4,1,Good,
13,3,5,1,Good,
14,3,6,1,Good,
15,4,1,1,Good,
16,4,2,1,Good,
17,4,3,1,Good,
18,4,4,1,Good,
19,4,5,1,Good,
20,4,6,1,Good,
21,4,7,1,Good,
22,4,8,1,Good,
23,5,1,1,Good,
24,5,2,1,Fair,Handle slightly loose
25,5,3,1,Good,
26,5,4,1,Good,
27,5,5,1,Good,
28,5,6,1,Good,
29,6,1,1,Good,
30,6,2,1,Good,
31,6,3,1,Fair,Door hinge worn
32,6,4,1,Good,
33,6,5,1,Good,
34,6,6,1,Good,
35,7,1,1,Good,
36,7,2,1,Good,
37,7,3,1,Good,
38,7,4,1,Good,
39,8,1,1,Good,
40,8,2,1,Good,
41,8,3,1,Good,
42,8,4,1,Good,
43,8,5,1,Good,
44,8,6,1,Good,
45,8,7,1,Good,
46,8,8,1,Good,
47,9,1,1,Good,
48,9,2,1,Good,
49,9,3,1,Good,
50,9,4,1,Good,
51,10,1,1,Good,
52,10,2,1,Good,
53,10,3,1,Fair,Surface scratch
54,10,4,1,Good,
55,11,1,1,Good,
56,11,2,1,Good,
57,11,3,1,Good,
58,11,4,1,Fair,Remote control missing
59,12,1,1,Good,
60,12,2,1,Good,
61,12,3,1,Good,
62,12,4,1,Good,
63,12,5,1,Good,
64,12,6,1,Good,
65,13,1,1,Good,
66,13,2,1,Good,
67,13,3,1,Good,
68,13,4,1,Good,
69,14,1,1,Good,
70,14,2,1,Good,
71,14,3,1,Good,
72,14,4,1,Good,
73,14,5,1,Good,
74,14,6,1,Good,
75,14,7,1,Good,
76,14,8,1,Good,
77,15,1,1,Good,
78,15,2,1,Good,
79,15,3,1,Good,
80,15,4,1,Good,
81,15,5,1,Good,
82,15,6,1,Good,
