bill_no,bill_date,billing_month,tenant_id,room_no,due_date,total_bill_amount,total_paid,balance_due,status,created_at
1,2026-01-03,2026-01,1,101,2026-01-10,5760,5760,0.00,Fully Paid,2026-01-03 08:00:00+00
2,2026-01-03,2026-01,2,102,2026-01-10,5680,2000,3680.00,Partially Paid,2026-01-03 08:00:00+00
3,2026-01-03,2026-01,3,201,2026-01-10,7560,0,7560.00,Unpaid,2026-01-03 08:00:00+00
4,2026-01-03,2026-01,6,202,2026-01-10,7410,7410,0.00,Fully Paid,2026-01-03 08:00:00+00
5,2026-01-03,2026-01,7,203,2026-01-20,7410,3000,4410.00,Partially Paid,2026-01-03 08:00:00+00
6,2026-01-03,2026-01,9,302,2026-01-10,10360,10360,0.00,Fully Paid,2026-01-03 08:00:00+00
7,2026-02-03,2026-02,1,101,2026-02-10,5690,5690,0.00,Fully Paid,2026-02-03 08:00:00+00
8,2026-02-03,2026-02,2,102,2026-02-10,5610,5610,0.00,Fully Paid,2026-02-03 08:00:00+00
9,2026-02-03,2026-02,3,201,2026-02-10,7990,0,7990.00,Unpaid,2026-02-03 08:00:00+00
10,2026-02-03,2026-02,6,202,2026-02-10,7410,7410,0.00,Fully Paid,2026-02-03 08:00:00+00
11,2026-02-03,2026-02,7,203,2026-02-10,7910,3000,4910.00,Partially Paid,2026-02-03 08:00:00+00
12,2026-02-03,2026-02,9,302,2026-02-10,13560,13560,0.00,Fully Paid,2026-02-03 08:00:00+00
13,2026-02-03,2026-02,5,301,2026-02-10,10510,10510,0.00,Fully Paid,2026-02-03 08:00:00+00
14,2026-02-17,2026-02,8,104,2026-02-28,5610,0,5610.00,Unpaid,2026-02-17 08:00:00+00
15,2026-02-03,2026-02,10,401,2026-02-10,5610,5610,0.00,Fully Paid,2026-02-03 08:00:00+00
16,2026-03-03,2026-03,1,101,2026-03-10,5760,5760,0.00,Fully Paid,2026-03-03 08:00:00+00
17,2026-03-03,2026-03,2,102,2026-03-10,5680,0,5680.00,Unpaid,2026-03-03 08:00:00+00
18,2026-03-03,2026-03,3,201,2026-03-10,8060,0,8060.00,Unpaid,2026-03-03 08:00:00+00
19,2026-03-03,2026-03,6,202,2026-03-10,7410,7410,0.00,Fully Paid,2026-03-03 08:00:00+00
20,2026-03-03,2026-03,7,203,2026-03-10,7410,3000,4410.00,Partially Paid,2026-03-03 08:00:00+00
21,2026-03-03,2026-03,9,302,2026-03-10,10360,10360,0.00,Fully Paid,2026-03-03 08:00:00+00
22,2026-03-03,2026-03,5,301,2026-03-10,13710,13710,0.00,Fully Paid,2026-03-03 08:00:00+00
23,2026-03-03,2026-03,8,104,2026-03-31,5610,0,5610.00,Unpaid,2026-03-03 08:00:00+00
24,2026-03-03,2026-03,10,401,2026-03-10,5610,2000,3610.00,Partially Paid,2026-03-03 08:00:00+00
25,2026-03-03,2026-03,4,103,2026-03-10,5690,0,5690.00,Unpaid,2026-03-03 08:00:00+00
26,2026-03-10,2026-03,12,204,2026-03-20,7410,7410,0.00,Fully Paid,2026-03-10 08:00:00+00
27,2026-03-10,2026-03,13,105,2026-03-20,5760,0,5760.00,Unpaid,2026-03-10 08:00:00+00
28,2026-03-15,2026-03,14,303,2026-03-25,10360,10360,0.00,Fully Paid,2026-03-15 08:00:00+00
29,2026-03-20,2026-03,15,205,2026-03-31,7410,0,7410.00,Unpaid,2026-03-20 08:00:00+00
