receipt_no,receipt_date,tenant_id,room_no,payment_method,reference_number,total_paid,created_at
1,2026-01-08,1,101,Transfer,TXN-2501-001,5760,2026-01-08 10:00:00+00
2,2026-01-09,2,102,Cash,,2000,2026-01-09 10:00:00+00
3,2026-01-10,6,202,Transfer,TXN-2501-002,7410,2026-01-10 10:00:00+00
4,2026-01-11,9,302,Card,CARD-2501-001,10360,2026-01-11 10:00:00+00
5,2026-01-22,7,203,Cash,,3000,2026-01-22 10:00:00+00
6,2026-02-05,1,101,Transfer,TXN-2502-001,5690,2026-02-05 10:00:00+00
7,2026-02-06,2,102,Transfer,TXN-2502-002,5610,2026-02-06 10:00:00+00
8,2026-02-07,6,202,Transfer,TXN-2502-003,7410,2026-02-07 10:00:00+00
9,2026-02-08,9,302,Card,CARD-2502-001,13560,2026-02-08 10:00:00+00
10,2026-02-10,5,301,Transfer,TXN-2502-004,10510,2026-02-10 10:00:00+00
11,2026-02-12,10,401,Transfer,TXN-2502-005,5610,2026-02-12 10:00:00+00
12,2026-02-15,7,203,Cash,,3000,2026-02-15 10:00:00+00
13,2026-03-05,1,101,Transfer,TXN-2503-001,5760,2026-03-05 10:00:00+00
14,2026-03-07,6,202,Transfer,TXN-2503-002,7410,2026-03-07 10:00:00+00
15,2026-03-08,9,302,Card,CARD-2503-001,10360,2026-03-08 10:00:00+00
16,2026-03-10,5,301,Transfer,TXN-2503-003,13710,2026-03-10 10:00:00+00
17,2026-03-12,7,203,Cash,,3000,2026-03-12 10:00:00+00
18,2026-03-14,10,401,Cash,,2000,2026-03-14 10:00:00+00
19,2026-03-16,12,204,Transfer,TXN-2503-004,7410,2026-03-16 10:00:00+00
20,2026-03-20,14,303,Card,CARD-2503-002,10360,2026-03-20 10:00:00+00
